               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065742,            0.020795,             0.09142,           0.0036779,                   1,            0.041246,            0.023845,            0.030779,           0.0045619,            0.066856,             0.07007,           0.0033256,           0.0033256
                   1,            0.036811,            0.013608,            0.088309,           0.0074454,                   1,            0.047936,            0.032152,            0.021146,           0.0037363,            0.065278,            0.039938,           0.0065271,           0.0065271
                   2,            0.034615,            0.012136,            0.085991,            0.015223,                   1,            0.066208,            0.047688,            0.017683,           0.0034232,            0.062958,           0.0096741,           0.0095966,           0.0095966
                   3,            0.030371,            0.010913,            0.081981,            0.041719,             0.99883,             0.12005,             0.08404,            0.015456,           0.0031142,            0.060497,            0.009406,            0.009406,            0.009406
                   4,            0.027241,            0.010163,            0.078183,             0.05384,             0.95688,              0.1903,             0.13939,            0.015574,           0.0030145,            0.057645,            0.009406,            0.009406,            0.009406
                   5,            0.025512,           0.0097852,            0.073988,             0.18107,             0.56636,             0.19228,             0.12797,            0.016801,            0.003287,            0.054136,            0.009208,            0.009208,            0.009208
                   6,            0.024649,           0.0095076,              0.0693,             0.22758,             0.46261,             0.23503,             0.17921,            0.012387,           0.0028571,            0.051494,             0.00901,             0.00901,             0.00901
                   7,            0.023342,           0.0092212,            0.066018,             0.18638,              0.7021,              0.3086,             0.23968,            0.014013,           0.0030339,            0.048568,            0.008812,            0.008812,            0.008812
                   8,            0.022547,           0.0091641,            0.063881,             0.23151,             0.52711,              0.3646,             0.29038,            0.012234,           0.0029972,            0.046617,            0.008614,            0.008614,            0.008614
                   9,            0.021692,           0.0088094,            0.061466,              0.1793,             0.87403,             0.41052,             0.32804,             0.01361,           0.0032339,            0.043529,            0.008416,            0.008416,            0.008416
                  10,            0.021488,           0.0088116,            0.058858,              0.2622,             0.83229,              0.4679,             0.34715,            0.015169,            0.003024,            0.040576,            0.008218,            0.008218,            0.008218
                  11,            0.021136,           0.0086869,            0.056365,             0.30213,             0.65948,             0.48075,             0.38348,            0.012587,           0.0031301,            0.037612,             0.00802,             0.00802,             0.00802
                  12,            0.020713,           0.0086467,            0.053786,             0.36553,             0.88627,             0.60409,             0.48001,             0.01306,           0.0031341,            0.035115,            0.007822,            0.007822,            0.007822
                  13,            0.020814,           0.0086883,            0.051541,              0.4726,             0.82783,             0.66114,             0.53354,             0.01236,           0.0031816,             0.03222,            0.007624,            0.007624,            0.007624
                  14,            0.020633,            0.008594,            0.049491,             0.43933,             0.86423,             0.70547,             0.56611,            0.013748,           0.0032375,             0.03055,            0.007426,            0.007426,            0.007426
                  15,            0.020415,           0.0085489,            0.047037,             0.55118,             0.89379,             0.71891,             0.56276,            0.014231,           0.0033455,            0.027713,            0.007228,            0.007228,            0.007228
                  16,            0.020554,           0.0085601,            0.045461,             0.55033,             0.89753,             0.75533,             0.60618,            0.012752,           0.0032889,            0.026149,             0.00703,             0.00703,             0.00703
                  17,            0.020283,           0.0086052,            0.043446,              0.6186,             0.86396,             0.80928,             0.62444,            0.013789,           0.0031213,            0.024267,            0.006832,            0.006832,            0.006832
                  18,             0.02011,           0.0085382,            0.041782,             0.65518,             0.92356,             0.84532,             0.64973,            0.014246,           0.0032204,             0.02182,            0.006634,            0.006634,            0.006634
                  19,            0.020166,           0.0084743,            0.040007,              0.6968,             0.91238,             0.83931,             0.66024,            0.013185,           0.0031205,            0.020241,            0.006436,            0.006436,            0.006436
                  20,            0.019916,            0.008546,            0.038121,             0.72567,             0.92634,              0.8645,             0.67276,            0.014236,           0.0036568,            0.017667,            0.006238,            0.006238,            0.006238
                  21,            0.019863,           0.0083201,             0.03651,             0.72994,             0.97981,              0.8512,             0.66643,            0.013956,           0.0032266,            0.016274,             0.00604,             0.00604,             0.00604
